total_successes,total_minutes_saved
2285,9140
2302,9208
2324,9296
2280,9120
2299,9196
2315,9260
2273,9092
2293,9172
2289,9156
2282,9128
2295,9180
2290,9160
2316,9264
2286,9144
2287,9148
2291,9164
2295,9180
2308,9232
2284,9136
2331,9324
2308,9232
2284,9136
2312,9248
2290,9160
2306,9224
2294,9176
2287,9148
2307,9228
2276,9104
2295,9180
2269,9076
2286,9144
2293,9172
2293,9172
2291,9164
2302,9208
2309,9236
2320,9280
2299,9196
2307,9228
2312,9248
2311,9244
2275,9100
2274,9096
2301,9204
2331,9324
2294,9176
2269,9076
2310,9240
2326,9304
2294,9176
2297,9188
2314,9256
2303,9212
2297,9188
2311,9244
2277,9108
2298,9192
2319,9276
2277,9108
2309,9236
2292,9168
2293,9172
2297,9188
2286,9144
2308,9232
2310,9240
2294,9176
2295,9180
2297,9188
2306,9224
2286,9144
2302,9208
2293,9172
2315,9260
2285,9140
2286,9144
2277,9108
2288,9152
2269,9076
2298,9192
2328,9312
2298,9192
2298,9192
2295,9180
2294,9176
2309,9236
2285,9140
2296,9184
2304,9216
2319,9276
2278,9112
2292,9168
2296,9184
2308,9232
2289,9156
2304,9216
2284,9136
2303,9212
2288,9152
2307,9228
2321,9284
2287,9148
2311,9244
2304,9216
2295,9180
2303,9212
2299,9196
2305,9220
2281,9124
2289,9156
2298,9192
2282,9128
2280,9120
2282,9128
2297,9188
2289,9156
2301,9204
2274,9096
2289,9156
2289,9156
2293,9172
2279,9116
2303,9212
2319,9276
2294,9176
2287,9148
2291,9164
2289,9156
2294,9176
2302,9208
2306,9224
2295,9180
2295,9180
2294,9176
2304,9216
2298,9192
2280,9120
2292,9168
2317,9268
2297,9188
2291,9164
2308,9232
2311,9244
2304,9216
2289,9156
2307,9228
2322,9288
2282,9128
2323,9292
2293,9172
2322,9288
2299,9196
2285,9140
2314,9256
2316,9264
2306,9224
2295,9180
2296,9184
2303,9212
2298,9192
2280,9120
2299,9196
2312,9248
2304,9216
2307,9228
2289,9156
2284,9136
2268,9072
2311,9244
2294,9176
2285,9140
2291,9164
2303,9212
2277,9108
2287,9148
2261,9044
2294,9176
2280,9120
2307,9228
2296,9184
2311,9244
2316,9264
2298,9192
2277,9108
2295,9180
2320,9280
2301,9204
2309,9236
2299,9196
2314,9256
2307,9228
2275,9100
2300,9200
2296,9184
2301,9204
2290,9160
2303,9212
2304,9216
2297,9188
2279,9116
2256,9024
2314,9256
2303,9212
2297,9188
2305,9220
2303,9212
2310,9240
2300,9200
2296,9184
2311,9244
2311,9244
2307,9228
2304,9216
2310,9240
2308,9232
2300,9200
2298,9192
2289,9156
2298,9192
2301,9204
2320,9280
2310,9240
2310,9240
2288,9152
2303,9212
2288,9152
2321,9284
2316,9264
2294,9176
2282,9128
2294,9176
2302,9208
2284,9136
2267,9068
2295,9180
2308,9232
2274,9096
2283,9132
2293,9172
2304,9216
2306,9224
2308,9232
2327,9308
2293,9172
2287,9148
2308,9232
2304,9216
2310,9240
2312,9248
2303,9212
2300,9200
2288,9152
2301,9204
2320,9280
2291,9164
2323,9292
2274,9096
2330,9320
2312,9248
2284,9136
2310,9240
2323,9292
2302,9208
2292,9168
2307,9228
2284,9136
2292,9168
2281,9124
2293,9172
2304,9216
2328,9312
2314,9256
2268,9072
2305,9220
2296,9184
2282,9128
2297,9188
2318,9272
2297,9188
2306,9224
2293,9172
2330,9320
2303,9212
2294,9176
2317,9268
2290,9160
2303,9212
2288,9152
2287,9148
2282,9128
2305,9220
2304,9216
2320,9280
2275,9100
2286,9144
2314,9256
2324,9296
2279,9116
2301,9204
2313,9252
2315,9260
2267,9068
2288,9152
2315,9260
2290,9160
2283,9132
2304,9216
2284,9136
2309,9236
2300,9200
2312,9248
2299,9196
2311,9244
2276,9104
2304,9216
2294,9176
2304,9216
2331,9324
2307,9228
2290,9160
2302,9208
2302,9208
2269,9076
2298,9192
2262,9048
2306,9224
2294,9176
2307,9228
2303,9212
2282,9128
2294,9176
2292,9168
2293,9172
2317,9268
2326,9304
2322,9288
2321,9284
2302,9208
2312,9248
2304,9216
2306,9224
2298,9192
2313,9252
2300,9200
2299,9196
2291,9164
2298,9192
2292,9168
2285,9140
2291,9164
2312,9248
2299,9196
2311,9244
2318,9272
2317,9268
2283,9132
2304,9216
2297,9188
2297,9188
2292,9168
2297,9188
2304,9216
2329,9316
2310,9240
2303,9212
2312,9248
2270,9080
2293,9172
2327,9308
2306,9224
2306,9224
2288,9152
2290,9160
2291,9164
2266,9064
2280,9120
2300,9200
2303,9212
2285,9140
2330,9320
2310,9240
2307,9228
2277,9108
2336,9344
2287,9148
2311,9244
2303,9212
2290,9160
2297,9188
2269,9076
2292,9168
2322,9288
2295,9180
2320,9280
2299,9196
2305,9220
2280,9120
2306,9224
2298,9192
2298,9192
2324,9296
2294,9176
2293,9172
2303,9212
2297,9188
2288,9152
2289,9156
2321,9284
2280,9120
2283,9132
2287,9148
2297,9188
2307,9228
2291,9164
2318,9272
2277,9108
2305,9220
2307,9228
2286,9144
2260,9040
2300,9200
2290,9160
2295,9180
2299,9196
2317,9268
2298,9192
2296,9184
2298,9192
2294,9176
2287,9148
2318,9272
2305,9220
2308,9232
2295,9180
2298,9192
2289,9156
2276,9104
2287,9148
2323,9292
2282,9128
2331,9324
2324,9296
2283,9132
2290,9160
2284,9136
2303,9212
2317,9268
2276,9104
2319,9276
2317,9268
2293,9172
2306,9224
2311,9244
2321,9284
2283,9132
2295,9180
2314,9256
2311,9244
2289,9156
2288,9152
2300,9200
2300,9200
2289,9156
2296,9184
2292,9168
2270,9080
2282,9128
2293,9172
2297,9188
2306,9224
2284,9136
2278,9112
2280,9120
2294,9176
2278,9112
2263,9052
2315,9260
2298,9192
2306,9224
2307,9228
2302,9208
2289,9156
2303,9212
2283,9132
2298,9192
2297,9188
2286,9144
2308,9232
2326,9304
2285,9140
2290,9160
2314,9256
2284,9136
2279,9116
2292,9168
2308,9232
2291,9164
2299,9196
2315,9260
2278,9112
2304,9216
2295,9180
2316,9264
2284,9136
2290,9160
2286,9144
2313,9252
2322,9288
2271,9084
2296,9184
2320,9280
2293,9172
2288,9152
2310,9240
2309,9236
2298,9192
2312,9248
2271,9084
2313,9252
2314,9256
2293,9172
2318,9272
2280,9120
2282,9128
2274,9096
2289,9156
2314,9256
2313,9252
2298,9192
2322,9288
2286,9144
2275,9100
2299,9196
2285,9140
2301,9204
2287,9148
2313,9252
2288,9152
2304,9216
2289,9156
2284,9136
2286,9144
2300,9200
2299,9196
2324,9296
2305,9220
2307,9228
2289,9156
2325,9300
2294,9176
2321,9284
2293,9172
2294,9176
2307,9228
2327,9308
2330,9320
2315,9260
2306,9224
2323,9292
2292,9168
2311,9244
2289,9156
2278,9112
2312,9248
2321,9284
2287,9148
2321,9284
2284,9136
2291,9164
2270,9080
2301,9204
2303,9212
2299,9196
2282,9128
2306,9224
2282,9128
2278,9112
2302,9208
2279,9116
2294,9176
2300,9200
2305,9220
2302,9208
2314,9256
2290,9160
2303,9212
2289,9156
2298,9192
2308,9232
2302,9208
2306,9224
2280,9120
2279,9116
2286,9144
2290,9160
2286,9144
2285,9140
2267,9068
2298,9192
2276,9104
2295,9180
2315,9260
2295,9180
2321,9284
2304,9216
2298,9192
2315,9260
2293,9172
2276,9104
2299,9196
2291,9164
2276,9104
2293,9172
2293,9172
2311,9244
2288,9152
2298,9192
2296,9184
2308,9232
2296,9184
2319,9276
2333,9332
2260,9040
2305,9220
2288,9152
2284,9136
2315,9260
2297,9188
2304,9216
2294,9176
2280,9120
2295,9180
2312,9248
2309,9236
2309,9236
2300,9200
2302,9208
2275,9100
2326,9304
2292,9168
2306,9224
2310,9240
2271,9084
2273,9092
2285,9140
2282,9128
2295,9180
2281,9124
2305,9220
2314,9256
2282,9128
2316,9264
2299,9196
2322,9288
2304,9216
2277,9108
2299,9196
2262,9048
2294,9176
2300,9200
2301,9204
2282,9128
2293,9172
2287,9148
2275,9100
2269,9076
2322,9288
2292,9168
2309,9236
2294,9176
2308,9232
2299,9196
2325,9300
2291,9164
2286,9144
2311,9244
2312,9248
2317,9268
2315,9260
2278,9112
2295,9180
2298,9192
2310,9240
2292,9168
2283,9132
2285,9140
2312,9248
2300,9200
2314,9256
2313,9252
2313,9252
2313,9252
2305,9220
2297,9188
2334,9336
2296,9184
2287,9148
2277,9108
2305,9220
2307,9228
2292,9168
2289,9156
2303,9212
2290,9160
2287,9148
2253,9012
2314,9256
2305,9220
2289,9156
2264,9056
2289,9156
2312,9248
2288,9152
2314,9256
2308,9232
2292,9168
2298,9192
2335,9340
2287,9148
2303,9212
2307,9228
2301,9204
2304,9216
2276,9104
2324,9296
2274,9096
2291,9164
2284,9136
2318,9272
2283,9132
2307,9228
2297,9188
2283,9132
2309,9236
2273,9092
2342,9368
2293,9172
2285,9140
2282,9128
2295,9180
2297,9188
2320,9280
2288,9152
2311,9244
2312,9248
2324,9296
2285,9140
2320,9280
2295,9180
2301,9204
2302,9208
2318,9272
2307,9228
2299,9196
2295,9180
2284,9136
2322,9288
2291,9164
2300,9200
2298,9192
2306,9224
2308,9232
2321,9284
2311,9244
2298,9192
2308,9232
2288,9152
2306,9224
2267,9068
2308,9232
2284,9136
2293,9172
2339,9356
2295,9180
2301,9204
2301,9204
2305,9220
2303,9212
2315,9260
2290,9160
2271,9084
2287,9148
2326,9304
2319,9276
2310,9240
2285,9140
2302,9208
2326,9304
2293,9172
2313,9252
2310,9240
2285,9140
2306,9224
2310,9240
2305,9220
2279,9116
2275,9100
2265,9060
2291,9164
2312,9248
2319,9276
2285,9140
2311,9244
2272,9088
2307,9228
2300,9200
2279,9116
2303,9212
2295,9180
2276,9104
2291,9164
2307,9228
2279,9116
2326,9304
2317,9268
2301,9204
2285,9140
2317,9268
2314,9256
2300,9200
2307,9228
2314,9256
2303,9212
2307,9228
2268,9072
2310,9240
2323,9292
2332,9328
2312,9248
2304,9216
2302,9208
2290,9160
2284,9136
2314,9256
2289,9156
2299,9196
2302,9208
2295,9180
2298,9192
2325,9300
2308,9232
2315,9260
2312,9248
2303,9212
2307,9228
2297,9188
2317,9268
2314,9256
2298,9192
2326,9304
2309,9236
2292,9168
2282,9128
2295,9180
2298,9192
2313,9252
2318,9272
2285,9140
2299,9196
2279,9116
2320,9280
2302,9208
2267,9068
2307,9228
2310,9240
2291,9164
2288,9152
2292,9168
2310,9240
2286,9144
2316,9264
2292,9168
2294,9176
2310,9240
2271,9084
2314,9256
2320,9280
2317,9268
2295,9180
2283,9132
2307,9228
2316,9264
2308,9232
2288,9152
2313,9252
2287,9148
2307,9228
2311,9244
2302,9208
2288,9152
2333,9332
2316,9264
2306,9224
2287,9148
2307,9228
2301,9204
2317,9268
2292,9168
2284,9136
2292,9168
2277,9108
2315,9260
2305,9220
2309,9236
2318,9272
2298,9192
2289,9156
2290,9160
2285,9140
2300,9200
2314,9256
2293,9172
2302,9208
2277,9108
2311,9244
2307,9228
2290,9160
2299,9196
2298,9192
2282,9128
2272,9088
2282,9128
2307,9228
2289,9156
2309,9236
2321,9284
2292,9168
2310,9240
2310,9240
2290,9160
2289,9156
2283,9132
2320,9280
2292,9168
2294,9176
2302,9208
2293,9172
2320,9280
2299,9196
2320,9280
2296,9184
2306,9224
2325,9300
2312,9248
2307,9228
2298,9192
2307,9228
2289,9156
2311,9244
2303,9212
2265,9060
2318,9272
2300,9200
2313,9252
2291,9164
2284,9136
2319,9276
2269,9076
2329,9316
2307,9228
2316,9264
2290,9160
2283,9132
2288,9152
2310,9240
2326,9304
2271,9084
2312,9248
2293,9172
2298,9192
2322,9288
2280,9120
2281,9124
2311,9244
2278,9112
2310,9240
2296,9184
2286,9144
2309,9236
2299,9196
2267,9068
2289,9156
2293,9172
2324,9296
2303,9212
2283,9132
2284,9136
2304,9216
2270,9080
2288,9152
2301,9204
2313,9252
2316,9264
2302,9208
2271,9084
2309,9236
2308,9232
2289,9156
2286,9144
2275,9100
2322,9288
2273,9092
2283,9132
2297,9188
2302,9208
2274,9096
2302,9208
2309,9236
2304,9216
2322,9288
2288,9152
2285,9140
2290,9160
2296,9184
2299,9196
2309,9236
2323,9292
2307,9228
2334,9336
2278,9112
2275,9100
2324,9296
2300,9200
2302,9208
2284,9136
2279,9116
2286,9144
2273,9092
2301,9204
2298,9192
2314,9256
2294,9176
2300,9200
2291,9164
2293,9172
2283,9132
2281,9124
2317,9268
2296,9184
2283,9132
2293,9172
2293,9172
2294,9176
2283,9132
2309,9236
2285,9140
2303,9212
2311,9244
2285,9140
2333,9332
2304,9216
2326,9304
2315,9260
2273,9092
2312,9248
2303,9212
2317,9268
2306,9224
2317,9268
2321,9284
2274,9096
2321,9284
2309,9236
2285,9140
2285,9140
2300,9200
2309,9236
2300,9200
2278,9112
2274,9096
2299,9196
2311,9244
2325,9300
2314,9256
2309,9236
2245,8980
2325,9300
2264,9056
2285,9140
2295,9180
2326,9304
2319,9276
2282,9128
2304,9216
2289,9156
2292,9168
2288,9152
2306,9224
2275,9100
2291,9164
2263,9052
2292,9168
2307,9228
2308,9232
2296,9184
2288,9152
2305,9220
2292,9168
2280,9120
2301,9204
2306,9224
2299,9196
2276,9104
2290,9160
2296,9184
2335,9340
2314,9256
2286,9144
2278,9112
2294,9176
2300,9200
2307,9228
2314,9256
2309,9236
2303,9212
2299,9196
2305,9220
2290,9160
2277,9108
2308,9232
2293,9172
2299,9196
2317,9268
2305,9220
2311,9244
2270,9080
2342,9368
2309,9236
2305,9220
2297,9188
2301,9204
2299,9196
2300,9200
2317,9268
2313,9252
2298,9192
2282,9128
2290,9160
2327,9308
2320,9280
2302,9208
2299,9196
2287,9148
2274,9096
2301,9204
2296,9184
2296,9184
2292,9168
2288,9152
2290,9160
2298,9192
2298,9192
2289,9156
2298,9192
2310,9240
2291,9164
2294,9176
2291,9164
2299,9196
2293,9172
2307,9228
2310,9240
2281,9124
2285,9140
2268,9072
2282,9128
2340,9360
2299,9196
2273,9092
2328,9312
2299,9196
2284,9136
2283,9132
2285,9140
2304,9216
2304,9216
2300,9200
2278,9112
2286,9144
2324,9296
2309,9236
2310,9240
2299,9196
2282,9128
2302,9208
2302,9208
2284,9136
2313,9252
2275,9100
2284,9136
2282,9128
2321,9284
2281,9124
2317,9268
2302,9208
2272,9088
2273,9092
2295,9180
2288,9152
2301,9204
2304,9216
2276,9104
2289,9156
2312,9248
2302,9208
2317,9268
2277,9108
2294,9176
2286,9144
2298,9192
2332,9328
2299,9196
2282,9128
2309,9236
2316,9264
2291,9164
2304,9216
2305,9220
2298,9192
2327,9308
2291,9164
2312,9248
2288,9152
2283,9132
2293,9172
2302,9208
2306,9224
2301,9204
2295,9180
2300,9200
2293,9172
2284,9136
2300,9200
2317,9268
2304,9216
2311,9244
2329,9316
2292,9168
2320,9280
2319,9276
2296,9184
2314,9256
2300,9200
2278,9112
2286,9144
2293,9172
2262,9048
2309,9236
2281,9124
2299,9196
2274,9096
2294,9176
2296,9184
2290,9160
2298,9192
2296,9184
2273,9092
2301,9204
2283,9132
2321,9284
2298,9192
2303,9212
2294,9176
2318,9272
2326,9304
2294,9176
2285,9140
2297,9188
2316,9264
2293,9172
2302,9208
2312,9248
2308,9232
2286,9144
2331,9324
2295,9180
2329,9316
2308,9232
2305,9220
2304,9216
2324,9296
2290,9160
2305,9220
2271,9084
2264,9056
2297,9188
2298,9192
2297,9188
2310,9240
2312,9248
2266,9064
2290,9160
2307,9228
2308,9232
2318,9272
2319,9276
2300,9200
2304,9216
2290,9160
2328,9312
2321,9284
2299,9196
2313,9252
2290,9160
2304,9216
2281,9124
2317,9268
2295,9180
2312,9248
2268,9072
2305,9220
2286,9144
2311,9244
2291,9164
2323,9292
2299,9196
2283,9132
2313,9252
2309,9236
2302,9208
2286,9144
2291,9164
2327,9308
2310,9240
2314,9256
2285,9140
2294,9176
2290,9160
2292,9168
2275,9100
2279,9116
2294,9176
2261,9044
2306,9224
2297,9188
2284,9136
2305,9220
2300,9200
2288,9152
2294,9176
2311,9244
2280,9120
2305,9220
2309,9236
2310,9240
2293,9172
2292,9168
2295,9180
2316,9264
2314,9256
2308,9232
2320,9280
2302,9208
2294,9176
2274,9096
2299,9196
2274,9096
2303,9212
2305,9220
2296,9184
2319,9276
2309,9236
2312,9248
2319,9276
2298,9192
2295,9180
2313,9252
2290,9160
2269,9076
2275,9100
2284,9136
2314,9256
2292,9168
2307,9228
2303,9212
2304,9216
2298,9192
2287,9148
2303,9212
2305,9220
2308,9232
2301,9204
2287,9148
2301,9204
2294,9176
2280,9120
2298,9192
2317,9268
2307,9228
2295,9180
2279,9116
2307,9228
2293,9172
2289,9156
2318,9272
2311,9244
2313,9252
2275,9100
2302,9208
2261,9044
2285,9140
2314,9256
2265,9060
2297,9188
2302,9208
2288,9152
2276,9104
2302,9208
2307,9228
2301,9204
2300,9200
2289,9156
2272,9088
2293,9172
2303,9212
2273,9092
2301,9204
2309,9236
2300,9200
2284,9136
2288,9152
2298,9192
2304,9216
2295,9180
2270,9080
2269,9076
2315,9260
2275,9100
2289,9156
2334,9336
2294,9176
2304,9216
2322,9288
2314,9256
2316,9264
2315,9260
2285,9140
2294,9176
2289,9156
2317,9268
2261,9044
2309,9236
2288,9152
2312,9248
2318,9272
2307,9228
2272,9088
2312,9248
2322,9288
2302,9208
2314,9256
2308,9232
2284,9136
2283,9132
2306,9224
2307,9228
2309,9236
2274,9096
2306,9224
2325,9300
2285,9140
2324,9296
2312,9248
2314,9256
2276,9104
2303,9212
2302,9208
2243,8972
2300,9200
2283,9132
2311,9244
2287,9148
2287,9148
2281,9124
2282,9128
2271,9084
2310,9240
2312,9248
2301,9204
2318,9272
2313,9252
2302,9208
2298,9192
2297,9188
2303,9212
2292,9168
2307,9228
2302,9208
2301,9204
2290,9160
2309,9236
2328,9312
2298,9192
2298,9192
2313,9252
2292,9168
2331,9324
2320,9280
2313,9252
2307,9228
2308,9232
2288,9152
2281,9124
2317,9268
2305,9220
2321,9284
2284,9136
2308,9232
2287,9148
2321,9284
2337,9348
2296,9184
2284,9136
2296,9184
2330,9320
2292,9168
2314,9256
2296,9184
2318,9272
2302,9208
2303,9212
2315,9260
2298,9192
2301,9204
2322,9288
2290,9160
2271,9084
2312,9248
2291,9164
2288,9152
2303,9212
2294,9176
2296,9184
2289,9156
2308,9232
2302,9208
2286,9144
2281,9124
2300,9200
2299,9196
2293,9172
2263,9052
2295,9180
2290,9160
2302,9208
2324,9296
2321,9284
2303,9212
2299,9196
2273,9092
2311,9244
2314,9256
2278,9112
2319,9276
2297,9188
2290,9160
2291,9164
2299,9196
2287,9148
2302,9208
2315,9260
2288,9152
2301,9204
2315,9260
2274,9096
2322,9288
2284,9136
2300,9200
2280,9120
2323,9292
2310,9240
2295,9180
2316,9264
2325,9300
2298,9192
2270,9080
2271,9084
2284,9136
2286,9144
2291,9164
2301,9204
2321,9284
2287,9148
2311,9244
2279,9116
2293,9172
2316,9264
2292,9168
2304,9216
2317,9268
2288,9152
2312,9248
2300,9200
2296,9184
2315,9260
2312,9248
2294,9176
2296,9184
2302,9208
2300,9200
2290,9160
2312,9248
2282,9128
2311,9244
2315,9260
2295,9180
2287,9148
2306,9224
2321,9284
2319,9276
2287,9148
2296,9184
2286,9144
2300,9200
2277,9108
2288,9152
2315,9260
2314,9256
2292,9168
2312,9248
2306,9224
2316,9264
2287,9148
2301,9204
2275,9100
2292,9168
2310,9240
2288,9152
2299,9196
2261,9044
2305,9220
2285,9140
2304,9216
2309,9236
2305,9220
2298,9192
2311,9244
2271,9084
2316,9264
2325,9300
2302,9208
2297,9188
2308,9232
2310,9240
2275,9100
2307,9228
2282,9128
2291,9164
2313,9252
2271,9084
2272,9088
2297,9188
2319,9276
2309,9236
2325,9300
2303,9212
2304,9216
2309,9236
2318,9272
2329,9316
2277,9108
2309,9236
2319,9276
2306,9224
2296,9184
2300,9200
2296,9184
2291,9164
2313,9252
2319,9276
2287,9148
2288,9152
2290,9160
2307,9228
2317,9268
2279,9116
2299,9196
2276,9104
2303,9212
2271,9084
2298,9192
2321,9284
2303,9212
2298,9192
2310,9240
2333,9332
2318,9272
2302,9208
2294,9176
2310,9240
2293,9172
2283,9132
2284,9136
2297,9188
2321,9284
2315,9260
2301,9204
2303,9212
2294,9176
2291,9164
2309,9236
2318,9272
2311,9244
2300,9200
2280,9120
2290,9160
2296,9184
2296,9184
2311,9244
2312,9248
